Index,Provenance,22/4/04,29/04/04,06/05/04,13/05/04
442,AUSTRIA Hinterstoder,3,5,6,7
443,AUSTRIA Hinterstoder,2,5,6,7
444,CZECH Jablonec NN,2,4,6,7
445,CZECH Jablonec NN,2,3,5,7
446,CZECH Jablonec NN,2,6,7,7
447,CZECH Jablonec NN,4,7,7,7
448,CZECH Jablonec NN,2,6,7,7
449,CZECH Jablonec NN,2,6,6,7
450,SWEDEN Torup,1,1,1,6
451,SWEDEN Torup,1,5,6,7
452,SWEDEN Torup,1,3,5,7
453,SWEDEN Torup,1,3,5,6
454,SWEDEN Torup,1,3,5,7
455,SWEDEN Torup,1,1,3,6
456,Sonning Common (control),1,3,4,6
457,Sonning Common (control),1,1,2,4
458,Sonning Common (control),1,1,2,5
459,Sonning Common (control),1,1,2,5
460,Sonning Common (control),1,2,4,5
461,Sonning Common (control),2,3,5,6
462,LUX Heinerscheid,1,2,4,6
463,LUX Heinerscheid,1,1,2,5
464,LUX Heinerscheid,1,1,2,4
465,LUX Heinerscheid,1,2,3,6
466,LUX Heinerscheid,1,2,3,5
467,LUX Heinerscheid,1,1,3,5
468,FRANCE Sud Massif,1,3,5,7
469,FRANCE Sud Massif,1,1,2,5
470,FRANCE Sud Massif,2,3,5,7
471,FRANCE Sud Massif,1,2,3,5
472,FRANCE Sud Massif,1,1,3,5
473,FRANCE Sud Massif,1,3,3,5
474,GERMANY Urach,1,2,3,5
475,GERMANY Urach,1,2,4,6
476,GERMANY Urach,1,2,4,6
477,GERMANY Urach,1,2,3,6
478,GERMANY Urach,1,1,2,5
479,GERMANY Urach,1,2,3,5
480,SLOVENIA Postojna Masun,2,5,7,7
481,SLOVENIA Postojna Masun,5,7,7,7
482,SLOVENIA Postojna Masun,2,2,4,6
483,SLOVENIA Postojna Masun,4,7,7,7
484,SLOVENIA Postojna Masun,2,3,5,7
485,SLOVENIA Postojna Masun,2,6,7,7
486,BELGIUM Soignes,1,1,3,5
487,BELGIUM Soignes,2,2,2,3
488,BELGIUM Soignes,1,2,3,6
489,BELGIUM Soignes,2,3,4,6
490,BELGIUM Soignes,1,1,2,3
491,BELGIUM Soignes,1,2,2,2
492,FRANCE Bourdure Man,1,3,5,7
493,FRANCE Bourdure Man,1,3,4,6
494,FRANCE Bourdure Man,1,1,1,5
495,FRANCE Bourdure Man,1,4,6,7
496,FRANCE Bourdure Man,2,5,6,7
497,FRANCE Bourdure Man,1,3,4,6
498,Sonning Common (control),1,2,4,6
499,Sonning Common (control),1,3,6,7
500,Sonning Common (control),1,2,4,6
501,Sonning Common (control),1,1,2,5
502,Sonning Common (control),1,1,2,5
503,Sonning Common (control),1,3,4,6
504,FRANCE Pyrenees Or,2,3,5,6
505,FRANCE Pyrenees Or,1,2,3,6
506,FRANCE Pyrenees Or,1,4,5,6
507,FRANCE Pyrenees Or,1,2,4,5
508,FRANCE Pyrenees Or,1,3,4,5
509,FRANCE Pyrenees Or,1,2,4,6
510,POLAND Bilowo 115/116,2,3,5,7
511,POLAND Bilowo 115/116,1,2,5,6
512,POLAND Bilowo 115/116,2,4,6,6
513,POLAND Bilowo 115/116,2,4,6,7
514,POLAND Bilowo 115/116,2,3,5,6
515,POLAND Bilowo 115/116,2,3,4,6
516,CZECH Horni Plana-Ce.,1,6,7,7
517,CZECH Horni Plana-Ce.,3,6,7,7
518,CZECH Horni Plana-Ce.,2,3,5,6
519,CZECH Horni Plana-Ce.,3,6,7,7
520,CZECH Horni Plana-Ce.,1,3,5,7
521,CZECH Horni Plana-Ce.,1,3,4,6
522,FRANCE Picardie,1,3,4,6
523,FRANCE Picardie,1,2,5,6
524,FRANCE Picardie,1,2,4,6
525,FRANCE Picardie,1,2,3,5
526,FRANCE Picardie,3,6,7,7
527,FRANCE Picardie,1,3,5,6
528,GB South Downs Q.E. ,1,2,3,5
529,GB South Downs Q.E. ,1,1,2,5
530,GB South Downs Q.E. ,1,2,3,6
531,GB South Downs Q.E. ,1,2,2,4
532,GB South Downs Q.E. ,1,2,2,5
533,GB South Downs Q.E. ,1,2,4,6
534,NETHERLANDS Elspeet,2,2,2,5
535,NETHERLANDS Elspeet,1,1,1,2
536,NETHERLANDS Elspeet,1,1,1,3
537,NETHERLANDS Elspeet,1,2,4,6
538,NETHERLANDS Elspeet,1,1,1,5
539,NETHERLANDS Elspeet,1,2,2,6
